CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.9833261057277067
C0001,C0011,0.9625871037413544
C0001,C0118,0.9443434978994186
C0002,C0027,0.944130655784982
C0002,C0159,0.9188176128574758
C0002,C0106,0.9040055670949729
C0003,C0190,0.9583042736528493
C0003,C0031,0.9121718365553568
C0003,C0052,0.9018026105755185
C0004,C0113,0.9837848784529463
C0004,C0165,0.9758131776301321
C0004,C0102,0.9545833123945767
C0005,C0159,0.9496948704223205
C0005,C0007,0.9221254038665446
C0005,C0193,0.8806701940857037
C0006,C0187,0.9209280563805047
C0006,C0048,0.9066491003486843
C0006,C0137,0.8918815213882985
C0007,C0005,0.9221254038665446
C0007,C0040,0.9207096412957009
C0007,C0159,0.7750590272401845
C0008,C0068,0.8788268673866938
C0008,C0065,0.8736505257493317
C0008,C0156,0.8726356907274926
C0009,C0061,0.9525935096680248
C0009,C0167,0.9192951722044905
C0009,C0132,0.9129741694419093
C0010,C0121,0.9419845042549587
C0010,C0062,0.9093751566962335
C0010,C0197,0.8940001673653358
C0011,C0107,0.9875096679767142
C0011,C0001,0.9625871037413544
C0011,C0133,0.9154499279088028
C0012,C0013,0.9515208136300684
C0012,C0087,0.9496042586611929
C0012,C0195,0.9275805285434777
C0013,C0087,0.9693426983348472
C0013,C0012,0.9515208136300684
C0013,C0126,0.9065570262520594
C0014,C0063,0.9793363618401836
C0014,C0119,0.8615538619156744
C0014,C0121,0.8557596334857487
C0015,C0058,0.9888581490639133
C0015,C0020,0.9577150974021966
C0015,C0042,0.9087954192386006
C0016,C0185,0.9352495644652631
C0016,C0050,0.9347554509132613
C0016,C0026,0.8879609439737909
C0017,C0041,0.9450638023180347
C0017,C0075,0.9445349031977849
C0017,C0124,0.9185631432699467
C0018,C0046,0.9310559019314426
C0018,C0117,0.8770408046616424
C0018,C0194,0.8757229449111752
C0019,C0086,0.9431892527091738
C0019,C0199,0.9087065325622202
C0019,C0164,0.9034718246185232
C0020,C0015,0.9577150974021966
C0020,C0058,0.9462249451298742
C0020,C0036,0.8848344256362562
